quarter,积极,焦虑,解构,中性,n_answers
2020Q1,0.28,0.32,0.16,0.24,25
2020Q2,0.34782608695652173,0.1956521739130435,0.32608695652173914,0.13043478260869565,46
2020Q3,0.2727272727272727,0.30303030303030304,0.18181818181818182,0.24242424242424243,33
2020Q4,0.3,0.175,0.225,0.3,40
2021Q1,0.32608695652173914,0.1956521739130435,0.15217391304347827,0.32608695652173914,46
2021Q2,0.2765957446808511,0.2127659574468085,0.23404255319148937,0.2765957446808511,47
2021Q3,0.14634146341463414,0.36585365853658536,0.07317073170731707,0.4146341463414634,41
2021Q4,0.21568627450980393,0.29411764705882354,0.21568627450980393,0.27450980392156865,51
2022Q1,0.275,0.3,0.2,0.225,40
2022Q2,0.34,0.26,0.26,0.14,50
2022Q3,0.22580645161290322,0.14516129032258066,0.3709677419354839,0.25806451612903225,62
2022Q4,0.36065573770491804,0.13114754098360656,0.2786885245901639,0.22950819672131148,61
2023Q1,0.16091954022988506,0.1724137931034483,0.4827586206896552,0.1839080459770115,87
2023Q2,0.14634146341463414,0.21951219512195122,0.25609756097560976,0.3780487804878049,82
2023Q3,0.2079207920792079,0.27722772277227725,0.19801980198019803,0.31683168316831684,101
2023Q4,0.2826086956521739,0.17391304347826086,0.22826086956521738,0.31521739130434784,92
2024Q1,0.13043478260869565,0.1565217391304348,0.1565217391304348,0.5565217391304348,115
2024Q2,0.2605042016806723,0.15126050420168066,0.21008403361344538,0.37815126050420167,119
2024Q3,0.25396825396825395,0.24603174603174602,0.12698412698412698,0.373015873015873,126
2024Q4,0.23404255319148937,0.2198581560283688,0.1702127659574468,0.375886524822695,141
2025Q1,0.25,0.1534090909090909,0.20454545454545456,0.39204545454545453,176
2025Q2,0.22821576763485477,0.1825726141078838,0.2074688796680498,0.3817427385892116,241
2025Q3,0.27702702702702703,0.18243243243243243,0.15202702702702703,0.3885135135135135,296
2025Q4,0.2935064935064935,0.16103896103896104,0.13506493506493505,0.4103896103896104,385
